"Day of Week","Dimension Type","Value","Total Reservations","Online Checkins","Percentage of Online Checkins","Percentage of Online Checkins per Total Reservations"
"Tuesday","Gender","male","209","21","17.65%","1.62%"
"Wednesday","Gender","male","219","20","16.81%","1.54%"
"Monday","Gender","male","239","19","15.97%","1.47%"
"Thursday","Gender","male","228","18","15.13%","1.39%"
"Friday","Gender","male","163","15","12.61%","1.16%"
"Saturday","Gender","male","122","14","11.76%","1.08%"
"Sunday","Gender","male","115","12","10.08%","0.93%"
