Weekday,Day,Week_Number,Month,Year
Monday,17/06/2019,25,June,2019
Tuesday,18/06/2019,25,June,2019
Wednesday,19/06/2019,25,June,2019
Thursday,20/06/2019,25,June,2019
Friday,21/06/2019,25,June,2019
Saturday,22/06/2019,25,June,2019
Sunday,23/06/2019,25,June,2019
Monday,24/06/2019,26,June,2019
Tuesday,25/06/2019,26,June,2019
Wednesday,26/06/2019,26,June,2019
Thursday,27/06/2019,26,June,2019
Friday,28/06/2019,26,June,2019
Saturday,29/06/2019,26,June,2019
Sunday,30/06/2019,26,June,2019
Monday,01/07/2019,27,July,2019
Tuesday,02/07/2019,27,July,2019
Wednesday,03/07/2019,27,July,2019
Thursday,04/07/2019,27,July,2019
Friday,05/07/2019,27,July,2019
Saturday,06/07/2019,27,July,2019
Sunday,07/07/2019,27,July,2019
Monday,08/07/2019,28,July,2019
Tuesday,09/07/2019,28,July,2019
Wednesday,10/07/2019,28,July,2019
Thursday,11/07/2019,28,July,2019
Friday,12/07/2019,28,July,2019
Saturday,13/07/2019,28,July,2019
Sunday,14/07/2019,28,July,2019
Monday,15/07/2019,29,July,2019
Tuesday,16/07/2019,29,July,2019
Wednesday,17/07/2019,29,July,2019
Thursday,18/07/2019,29,July,2019
Friday,19/07/2019,29,July,2019
Saturday,20/07/2019,29,July,2019
Sunday,21/07/2019,29,July,2019
Monday,22/07/2019,30,July,2019
Tuesday,23/07/2019,30,July,2019
Wednesday,24/07/2019,30,July,2019
Thursday,25/07/2019,30,July,2019
Friday,26/07/2019,30,July,2019
Saturday,27/07/2019,30,July,2019
Sunday,28/07/2019,30,July,2019
Monday,29/07/2019,31,July,2019
Tuesday,30/07/2019,31,July,2019
Wednesday,31/07/2019,31,July,2019
Thursday,01/08/2019,31,August,2019
Friday,02/08/2019,31,August,2019
Saturday,03/08/2019,31,August,2019
Sunday,04/08/2019,31,August,2019
Monday,05/08/2019,32,August,2019
Tuesday,06/08/2019,32,August,2019
Wednesday,07/08/2019,32,August,2019
Thursday,08/08/2019,32,August,2019
Friday,09/08/2019,32,August,2019
Saturday,10/08/2019,32,August,2019
Sunday,11/08/2019,32,August,2019
Monday,12/08/2019,33,August,2019
Tuesday,13/08/2019,33,August,2019
Wednesday,14/08/2019,33,August,2019
Thursday,15/08/2019,33,August,2019
Friday,16/08/2019,33,August,2019
Saturday,17/08/2019,33,August,2019
Sunday,18/08/2019,33,August,2019
Monday,19/08/2019,34,August,2019
Tuesday,20/08/2019,34,August,2019
Wednesday,21/08/2019,34,August,2019
Thursday,22/08/2019,34,August,2019
Friday,23/08/2019,34,August,2019
Saturday,24/08/2019,34,August,2019
Sunday,25/08/2019,34,August,2019
Monday,26/08/2019,35,August,2019
Tuesday,27/08/2019,35,August,2019
Wednesday,28/08/2019,35,August,2019
Thursday,29/08/2019,35,August,2019
Friday,30/08/2019,35,August,2019
Saturday,31/08/2019,35,August,2019
Sunday,01/09/2019,35,September,2019
Monday,02/09/2019,36,September,2019
Tuesday,03/09/2019,36,September,2019
Wednesday,04/09/2019,36,September,2019
Thursday,05/09/2019,36,September,2019
Friday,06/09/2019,36,September,2019
Saturday,07/09/2019,36,September,2019
Sunday,08/09/2019,36,September,2019
Monday,09/09/2019,37,September,2019
Tuesday,10/09/2019,37,September,2019
Wednesday,11/09/2019,37,September,2019
Thursday,12/09/2019,37,September,2019
Friday,13/09/2019,37,September,2019
Saturday,14/09/2019,37,September,2019
Sunday,15/09/2019,37,September,2019
Monday,16/09/2019,38,September,2019
Tuesday,17/09/2019,38,September,2019
Wednesday,18/09/2019,38,September,2019
Thursday,19/09/2019,38,September,2019
Friday,20/09/2019,38,September,2019
Saturday,21/09/2019,38,September,2019
Sunday,22/09/2019,38,September,2019
Monday,23/09/2019,39,September,2019
Tuesday,24/09/2019,39,September,2019
Wednesday,25/09/2019,39,September,2019
Thursday,26/09/2019,39,September,2019
Friday,27/09/2019,39,September,2019
Saturday,28/09/2019,39,September,2019
Sunday,29/09/2019,39,September,2019
Monday,30/09/2019,40,September,2019
Tuesday,01/10/2019,40,October,2019
Wednesday,02/10/2019,40,October,2019
Thursday,03/10/2019,40,October,2019
Friday,04/10/2019,40,October,2019
Saturday,05/10/2019,40,October,2019
Sunday,06/10/2019,40,October,2019
Monday,07/10/2019,41,October,2019
Tuesday,08/10/2019,41,October,2019
Wednesday,09/10/2019,41,October,2019
Thursday,10/10/2019,41,October,2019
Friday,11/10/2019,41,October,2019
Saturday,12/10/2019,41,October,2019
Sunday,13/10/2019,41,October,2019
Monday,14/10/2019,42,October,2019
Tuesday,15/10/2019,42,October,2019
Wednesday,16/10/2019,42,October,2019
Thursday,17/10/2019,42,October,2019
Friday,18/10/2019,42,October,2019
Saturday,19/10/2019,42,October,2019
Sunday,20/10/2019,42,October,2019
Monday,21/10/2019,43,October,2019
Tuesday,22/10/2019,43,October,2019
Wednesday,23/10/2019,43,October,2019
Thursday,24/10/2019,43,October,2019
Friday,25/10/2019,43,October,2019
Saturday,26/10/2019,43,October,2019
Sunday,27/10/2019,43,October,2019
Monday,28/10/2019,44,October,2019
Tuesday,29/10/2019,44,October,2019
Wednesday,30/10/2019,44,October,2019
Thursday,31/10/2019,44,October,2019
Friday,01/11/2019,44,November,2019
Saturday,02/11/2019,44,November,2019
Sunday,03/11/2019,44,November,2019
Monday,04/11/2019,45,November,2019
Tuesday,05/11/2019,45,November,2019
Wednesday,06/11/2019,45,November,2019
Thursday,07/11/2019,45,November,2019
Friday,08/11/2019,45,November,2019
Saturday,09/11/2019,45,November,2019
Sunday,10/11/2019,45,November,2019
Monday,11/11/2019,46,November,2019
Tuesday,12/11/2019,46,November,2019
Wednesday,13/11/2019,46,November,2019
Thursday,14/11/2019,46,November,2019
Friday,15/11/2019,46,November,2019
Saturday,16/11/2019,46,November,2019
Sunday,17/11/2019,46,November,2019
Monday,18/11/2019,47,November,2019
Tuesday,19/11/2019,47,November,2019
Wednesday,20/11/2019,47,November,2019
Thursday,21/11/2019,47,November,2019
Friday,22/11/2019,47,November,2019
Saturday,23/11/2019,47,November,2019
Sunday,24/11/2019,47,November,2019
Monday,25/11/2019,48,November,2019
Tuesday,26/11/2019,48,November,2019
Wednesday,27/11/2019,48,November,2019
Thursday,28/11/2019,48,November,2019
Friday,29/11/2019,48,November,2019
Saturday,30/11/2019,48,November,2019
Sunday,01/12/2019,48,December,2019
Monday,02/12/2019,49,December,2019
Tuesday,03/12/2019,49,December,2019
Wednesday,04/12/2019,49,December,2019
Thursday,05/12/2019,49,December,2019
Friday,06/12/2019,49,December,2019
Saturday,07/12/2019,49,December,2019
Sunday,08/12/2019,49,December,2019
Monday,09/12/2019,50,December,2019
Tuesday,10/12/2019,50,December,2019
Wednesday,11/12/2019,50,December,2019
Thursday,12/12/2019,50,December,2019
Friday,13/12/2019,50,December,2019
Saturday,14/12/2019,50,December,2019
Sunday,15/12/2019,50,December,2019
Monday,16/12/2019,51,December,2019
Tuesday,17/12/2019,51,December,2019
Wednesday,18/12/2019,51,December,2019
Thursday,19/12/2019,51,December,2019
Friday,20/12/2019,51,December,2019
Saturday,21/12/2019,51,December,2019
Sunday,22/12/2019,51,December,2019
Monday,23/12/2019,52,December,2019
Tuesday,24/12/2019,52,December,2019
