"Nationality Code","Total Reservations","Average Daily Rate","Average Length of Stay","Average Occupancy per Booking","Revenue per Space Unit","Profitability"
"ID","7","211.736","2.0","3.1","741.076","MOST"
"AL","1","73.227","3.0","6.0","36.613","LEAST"
