"Gender","Total Reservations","Average Daily Rate","Average Length of Stay","Average Occupancy per Booking","Revenue per Space Unit","Profitability"
"undefined","846","165.051","2.7","4.3","155.743","MOST"
"female","360","192.239","2.4","4.2","90.622","LEAST"
