"Gender","Age Group","Nationality Code","Total Reservations","Average Daily Rate","Average Length of Stay","Average Occupancy per Booking","Revenue per Space Unit","Profitability"
"undefined",0,"DE","55","221.820","2.1","2.9","6377.323","MOST"
"male",100,"SK","3","26.679","2.3","2.3","13.339","LEAST"
